,standardized_location,latitude,longitude,counts,logcounts
0,"Alkmaar, The Netherlands",52.6312592,4.7503798,442,2.645422269349092
1,"Amsterdam, The Netherlands",52.3745403,4.89797550561798,8600,3.934498451243568
2,"Anjelierstraat, Utrecht, The Netherlands",52.0992416,5.102693,1,0.0
3,"Antwerp, Belgium",51.2211097,4.3997081,3265,3.5138831856110926
4,"Bergen op Zoom, The Netherlands",51.4958265,4.2871293,43,1.6334684555795864
5,Brabant,51.636942,5.103258,1,0.0
6,"Brugge, Belgium",51.2315785,3.20809951603418,284,2.4533183400470375
7,"Brussels, Belgium",50.8465573,4.351697,618,2.790988475088816
8,"Cologne, Germany",50.938361,6.959974,9,0.9542425094393249
9,"Constance, Germany",47.659216,9.1750718,1,0.0
10,"De Rijp, The Netherlands",52.5548999,4.8440884,144,2.1583624920952498
11,"Delft, The Netherlands",52.0114017,4.35839,284,2.4533183400470375
12,"Deventer, The Netherlands",52.2532272,6.1584725,235,2.3710678622717363
13,"Dordrecht, The Netherlands",51.7958812,4.6779351,847,2.9278834103307068
14,"Duinkerken, France",51.1907405,2.4978867,68,1.8325089127062364
15,"Eekwerd, The Netherlands",53.3261085,6.7886633,1,0.0
16,"Emden, Germany",53.3670442,7.2058004,299,2.4756711883244296
17,"Emmerik, Germany",51.8322137,6.2428283,175,2.2430380486862944
18,"Enkhuizen, The Netherlands",52.7036282,5.2901222,363,2.5599066250361124
19,"Flanders, Belgium",51.0962462,4.17985128926016,8,0.9030899869919435
20,Franeker,53.1904513,5.5417414,131,2.1172712956557644
21,"Gent, Belgium",51.0538286,3.7250121,236,2.3729120029701067
22,"Gorinchem, The Netherlands",51.8296133,4.9738743,41,1.6127838567197355
23,"Gouda, The Netherlands",52.0114922,4.7106094,104,2.0170333392987803
24,"Groessen, The Netherlands",51.9320994,6.02892,2,0.3010299956639812
25,"Groningen, The Netherlands",53.2190652,6.5680077,186,2.2695129442179165
26,"Haarlem, The Netherlands",52.3885317,4.6388048,2044,3.3104808914626753
27,"Harderwijk, The Netherlands",52.347402,5.6291317,3,0.47712125471966244
28,"Harlingen, The Netherlands",53.1752103,5.4141998,51,1.7075701760979363
29,"Heerenveen, The Netherlands",52.9568246,5.9270052,20,1.3010299956639813
30,"Heidelberg, Germany",49.4093582,8.694724,157,2.1958996524092336
31,"Helmstedt, Germany",52.2277037,11.0104702,2,0.3010299956639812
32,"Herne, Belgium",50.72329555,4.02601156634966,8,0.9030899869919435
33,"Hoorn, The Netherlands",52.653272,5.0735802,668,2.824776462475546
34,"Ieper, Belgium",50.8521947,2.8846047,36,1.5563025007672873
35,Italy,42.6384261,12.674297,1,0.0
36,"Jutphaas, The Netherlands",52.0358004,5.0708647,1,0.0
37,"Kalken, Belgium",51.0370133,3.918568,4,0.6020599913279624
38,"Kampen, The Netherlands",52.5559484,5.9033303,2,0.3010299956639812
39,"Kortrijk, Belgium",50.8276199,3.2659948,39,1.591064607026499
40,"Leeuwarden, The Netherlands",53.2005936,5.7918548,402,2.60422605308447
41,"Leiden, The Netherlands",52.1598645,4.4824271,803,2.904715545278681
42,"Leuven, Belgium",50.879202,4.7011675,554,2.74350976472843
43,"Lier, Belgium",51.131069,4.5696516,3,0.47712125471966244
44,"London, England",51.5073219,-0.1276474,76,1.8808135922807914
45,"Maastricht, The Netherlands",50.8512438,5.6909768,5,0.6989700043360189
46,"Mechelen, Belgium",51.0281381,4.4803453,204,2.3096301674258988
47,"Medemblik, The Netherlands",52.768691,5.106195,150,2.1760912590556813
48,"Middelburg, The Netherlands",51.4997302,3.6136962,158,2.1986570869544226
49,"Molenbeek, Brussels, Belgium",50.8543551,4.3227779,1,0.0
50,"Monnickendam, The Netherlands",52.4570766,5.0373214,35,1.5440680443502757
51,"Nederrijn, The Netherlands",51.9462323,5.3880451,171,2.2329961103921536
52,"Neurenberg, Germany",49.453872,11.077298,1,0.0
53,"Reguliersbreestraat, Amsterdam, The Netherlands",52.3665346,4.8948014,37,1.568201724066995
54,"Rijnland, Germany",51.466667,7.55,1,0.0
55,"Rotterdam, The Netherlands",51.9228958,4.4631727,408,2.61066016308988
56,"Schiedam, The Netherlands",51.91718,4.4019149,4,0.6020599913279624
57,"Sint-Truiden, Belgium",50.8152784,5.1858896,5,0.6989700043360189
58,"Steenwijk, The Netherlands",52.7895555,6.1209399,61,1.7853298350107671
59,"The Hague, The Netherlands",52.0799838,4.3113461,578,2.761927838420529
60,The Netherlands,52.5001698,5.7480821,3,0.47712125471966244
61,"Tongeren, Belgium",50.7810151,5.4648131,2,0.3010299956639812
62,"Utrecht, The Netherlands",52.0949753,5.109708,902,2.9552065375419416
63,"Veere, The Netherlands",51.5431279,3.6297997,16,1.2041199826559248
64,"Venlo, The Netherlands",51.3702109,6.1688954,5,0.6989700043360189
65,"Vlissingen, The Netherlands",51.4609007,3.5713468,123,2.089905111439398
66,"Wesel, Germany",51.6576909,6.617087,237,2.374748346010104
67,"West Flanders, Belgium",51.0402755,2.99716102523372,2,0.3010299956639812
68,"Woerden, The Netherlands",52.0867567,4.8913562,25,1.3979400086720377
69,"Zaandam, The Netherlands",52.4424926,4.8298607,126,2.100370545117563
70,"Zutphen, The Netherlands",52.143222,6.2044441,3,0.47712125471966244
71,"Zwolle, The Netherlands",52.5089759,6.0943765,26,1.414973347970818
72,"Zürich, Swiss",47.3723957,8.5423216,6,0.7781512503836436
